ensembl_gene_id;gene_symbol_hint;platform;mean;sd
ENSG00000006576;PHTF2;RNA_Seq;10,4297;0,8979
ENSG00000006606;CCL26;RNA_Seq;1,8325;2,7315
ENSG00000006607;FARP2;RNA_Seq;10,9668;0,8561
ENSG00000006611;USH1C;RNA_Seq;6,4374;4,6835
ENSG00000006625;GGCT;RNA_Seq;11,2373;0,8704
ENSG00000006634;DBF4;RNA_Seq;9,9071;0,7414
ENSG00000006638;TBXA2R;RNA_Seq;5,9449;1,0122
ENSG00000006652;IFRD1;RNA_Seq;10,968;0,796
ENSG00000006659;LGALS14;RNA_Seq;-0,6396;2,1838
ENSG00000006695;COX10;RNA_Seq;8,9516;0,6535
ENSG00000006704;GTF2IRD1;RNA_Seq;10,7782;0,8778
ENSG00000006712;PAF1;RNA_Seq;10,9253;0,5937
ENSG00000006715;VPS41;RNA_Seq;11,1076;0,6196
ENSG00000006740;ARHGAP44;RNA_Seq;6,5554;2,5226
ENSG00000006744;ELAC2;RNA_Seq;11,3126;0,6518
ENSG00000006747;SCIN;RNA_Seq;7,7673;2,7945
ENSG00000006756;ARSD;RNA_Seq;10,5442;1,9446
ENSG00000006757;PNPLA4;RNA_Seq;8,3667;1,8868
ENSG00000006788;MYH13;RNA_Seq;0,2279;2,7194
ENSG00000006831;ADIPOR2;RNA_Seq;11,92;0,6525
ENSG00000006837;CDKL3;RNA_Seq;4,9086;1,1991
ENSG00000007001;UPP2;RNA_Seq;-0,135;2,2309
ENSG00000007038;PRSS21;RNA_Seq;2,6895;4,404
ENSG00000007047;MARK4;RNA_Seq;9,8515;0,8284
ENSG00000007062;PROM1;RNA_Seq;7,9144;4,3499
ENSG00000007080;CCDC124;RNA_Seq;10,446;0,6742
ENSG00000007129;CEACAM21;RNA_Seq;1,3033;2,7437
ENSG00000007168;PAFAH1B1;RNA_Seq;12,1983;0,6125
ENSG00000007171;NOS2;RNA_Seq;4,7375;3,7156
ENSG00000007174;DNAH9;RNA_Seq;2,8844;3,026
ENSG00000007202;KIAA0100;RNA_Seq;13,0469;0,5969
ENSG00000007216;SLC13A2;RNA_Seq;2,0729;3,5872
ENSG00000007237;GAS7;RNA_Seq;5,7541;3,5836
ENSG00000007255;TRAPPC6A;RNA_Seq;8,8178;1,1194
ENSG00000007264;MATK;RNA_Seq;2,2492;3,4767
ENSG00000007306;CEACAM7;RNA_Seq;4,0261;4,9171
ENSG00000007312;CD79B;RNA_Seq;2,0088;3,1972
ENSG00000007314;SCN4A;RNA_Seq;1,9748;3,3797
ENSG00000007341;ST7L;RNA_Seq;8,5377;0,6528
ENSG00000007350;TKTL1;RNA_Seq;1,329;3,3091
ENSG00000007372;PAX6;RNA_Seq;6,9839;2,0222
ENSG00000007376;RPUSD1;RNA_Seq;9,921;0,676
ENSG00000007384;RHBDF1;RNA_Seq;10,5517;1,3636
ENSG00000007392;LUC7L;RNA_Seq;11,0344;0,7613
ENSG00000007402;CACNA2D2;RNA_Seq;6,4054;2,4208
ENSG00000007516;BAIAP3;RNA_Seq;7,2235;1,9243
